SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
Hermon A. MacNeil Park,Q,PARK,28.87,40.79305958075702,-73.85170667603293
Raymond O’Connor Park,Q,PARK,5.4,40.77171252709338,-73.77933493403252
Playground 115,Q,PARK,0.287,40.78522637697348,-73.8526109211026
Morningside Park,M,PARK,29.888,40.80576045046853,-73.95837977264469
Greenwood Playground,B,PARK,3.39,40.65037924880278,-73.97639602823644
Culinary Kids Garden,Q,PARK,1.492,40.59558648956767,-73.76359170407594
South Beach Wetlands,R,PARK,5.188,40.58719323056707,-74.07259954515904
Bowling Green,M,PARK,1.016,40.70494483401434,-74.01365765882856
Canarsie Park,B,PARK,132.2,40.62997746270781,-73.89183236128385
Bridge Park,X,PARK,7.156,40.846312564479845,-73.92706433216352
Shore Park and Parkway,B,PARK,58,40.625773414711155,-74.03704060348575
Mall Thirty Four XXXIV,Q,PARK,0.55,40.75501384580954,-73.87287003446185
Forest Park,Q,PARK,506.86,40.70205260367681,-73.85300298360417
Brevoort Playground,B,PARK,1.485,40.68047022218167,-73.92276101620538
Howard Pool,B,PARK,0.67,40.6727572219594,-73.90895206326799
Cross Island Parkway,Q,PARK,326.895,40.760630681262896,-73.7589387440612
Eastern Parkway Extension,B,PARK,2.064,40.673936284580854,-73.9127034974941
Garden,B,PARK,0.151,40.67894231842165,-73.91162737162075
Four Sparrow Marsh,B,PARK,64.665,40.60160800068693,-73.90536130305547
Harold Ickes Playground,B,PARK,1.816,40.68252986845342,-74.00594560979434
LaTourette Park & Golf Course,R,PARK,760.79,40.577602595959625,-74.14953006159865
Southern Fields,Q,PARK,5.593,40.665690125290666,-73.82620931917559
Park,Q,PARK,0.2395329,40.601509480665,-73.77515951156498
Castle Hill Little League Field,X,PARK,1.707,40.832418263307055,-73.84402499990111
Brooklyn Heights Promenade,B,PARK,0.093,40.69881482340718,-73.99660935182506
Flatbush African Burial Ground,B,PARK,0.66,40.65017154081517,-73.95625802378926
Vincent F. Albano Jr. Playground,M,PARK,0.346,40.74200698524423,-73.97849255692294
Horseshoe Playground,X,PARK,0.432,40.82412121928857,-73.89769156973236
Dunbar Playground,X,PARK,1.44,40.82301077730296,-73.90644375102619
Park,Q,PARK,0.02,40.75967177062976,-73.73557992665452
Baybridge Green,Q,PARK,0.316,40.78505147102737,-73.78620460275953
Lorraine Hansberry Plaza,M,PARK,0.623,40.76389437009882,-73.99283046584797
Rapkin-Gayle Plaza,M,PARK,0.287,40.72039250741064,-73.99914152837482
Queensboro Oval,M,PARK,1.239,40.75922449095857,-73.96007544103527
Greenbelt Native Plant Center,R,PARK,12.247,40.596076108456955,-74.18155504199783
Lot,B,PARK,1.702,40.573869712262756,-73.98810464751568
McGuire Fields,B,PARK,77.181,40.61370886819406,-73.89939739974457
Brooklyn Heights Promenade,B,PARK,0.09,40.69946052601745,-73.99630299282181
Grand Army Plaza,M,PARK,0.625,40.764134993710584,-73.97354731250176
Broad Channel Park,Q,PARK,1.55,40.60102020212578,-73.81976856378488
McKee Triangle,Q,PARK,0.059,40.787255613104065,-73.81591973140291
Queens Farm Park,Q,PARK,47.08,40.74778053647602,-73.72249387071469
Saratoga Blake Garden,B,PARK,0.103,40.66476542658561,-73.91672708569939
Family Group Garden,X,PARK,0.101,40.82184373981525,-73.91408133614021
Castlewood Playground,Q,PARK,2.059,40.74950435499909,-73.72176741359588
Wagner Houses Pool,M,PARK,1.64,40.801679030740054,-73.93261246979505
Harding Park Beautification Project,X,PARK,1.16,40.80768004731278,-73.85822257967949
Warwick Street Greenery Glow Garden,B,PARK,0.041,40.668671142053334,-73.88437986986115
Marcy Green North,B,PARK,0.137,40.70997917709222,-73.956632992457
La Casita Garden,M,PARK,0.08,40.725041289614424,-73.97871226110406
Brinckerhoff Cemetery,Q,PARK,0.209,40.73202604151604,-73.78824665211657
Marcy Green Center,B,PARK,0.195,40.709321826702464,-73.9570281817895
Metropolitan Recreation Center,B,PARK,0.181,40.71501205049537,-73.96031458786912
Percy E. Sutton Playground,M,PARK,1.635,40.8259989275927,-73.93487871721413
Alley Park,Q,PARK,2.446,40.74739028061171,-73.74491304796253
Hempstead Bench Spread,Q,PARK,0.274,40.710481900519895,-73.7296129617735
Brooklyn Heights Promenade,B,PARK,1.093,40.697451510861896,-73.99735386735559
